Martin Kočiš,FC Spartak Trnava,stredopoliar,10.12.1991,31,0,0,0,0,0
Lukáš Bruško,Spartak Myjava,obranca,07.08.1984,39,0,0,0,0,0
Hector Tubonemi,FC Tatran Prešov,útočník,05.09.1988,35,1,18,0,0,0
Lukáš Mihálik,FC ViOn Zlaté Moravce - Vráble,útočník,12.02.1994,29,2,19,1,1,0
Peter Farkaš,FC ViOn Zlaté Moravce - Vráble,obranca,11.11.1982,40,2,10,0,1,0
Lukáš Hutta,ŠK Slovan Bratislava,útočník,25.10.1991,31,0,0,0,0,0
Gabriel Bezák,AS Trenčín,stredopoliar,24.04.1993,30,1,6,0,0,0
Ricardo Nuno Dos Santos Nunes,MŠK Žilina,obranca,18.06.1986,37,2,36,2,3,1
Erich Brabec,FK Senica,obranca,24.02.1977,46,2,48,0,6,0
Jaroslav Diviš,FK Senica,útočník,09.07.1986,37,2,50,9,7,0
Ján Malec,FK Poprad,brankár,21.01.1985,38,0,0,0,0,0
Richard Kačala,FC Tatran Prešov,obranca,01.03.1991,32,3,39,0,9,1
Peter Šenk,FK Senica,obranca,19.05.1994,29,2,6,0,0,0
Juvhel Tsoumou,FK Senica,útočník,27.12.1990,32,1,12,1,1,0
Lamine Diarrassouba,FK Senica,útočník,01.01.1986,37,2,28,2,1,0
Juraj Križko,FK Senica,obranca,20.09.1985,38,2,36,0,7,1
Matúš Marcin,MFK Zemplín Michalovce,útočník,06.04.1994,29,5,102,21,12,1
Dominik Rodinger,FK Dukla Banská Bystrica,brankár,17.08.1987,36,1,8,3,1,0
Miroslav Filipko,FC Spartak Trnava,brankár,23.09.1973,50,2,20,6,1,0
Tomáš Poznar,FC Spartak Trnava,útočník,27.09.1988,35,1,9,2,1,0
Ondrej Duda,FC VSS Košice,stredopoliar,05.12.1994,28,2,33,5,6,0
Peter Katona,FC Tatran Prešov,stredopoliar,12.04.1988,35,3,66,3,4,0
Vladimír Kukoľ,FK Železiarne Podbrezová,stredopoliar,08.05.1986,37,4,87,5,18,2
Filip Lukšík,Spartak Myjava,obranca,03.02.1985,38,2,41,1,2,0
Lukáš Pellegrini,FK Pohronie Žiar n.H. Dolná Ždaňa,stredopoliar,10.05.1988,35,4,64,6,7,0
Adam Ševčík,FC Nitra,útočník,24.01.1993,30,1,7,0,0,0
Martin Hala,FC Nitra,obranca,24.03.1992,31,1,10,0,4,0
Marián Kolmokov,FC Nitra,obranca,23.03.1991,32,2,29,0,5,1
Tomáš Vestenický,FC ViOn Zlaté Moravce - Vráble,útočník,06.04.1996,27,4,58,17,8,0
Petr Hošek,FC Tatran Prešov,útočník,01.04.1989,34,3,24,0,0,0
Dušan Nulíček,FC DAC 1904 Dunajská Streda,útočník,02.06.1988,35,1,3,0,0,0
Michal Hrazdílek,FC DAC 1904 Dunajská Streda,útočník,28.06.1995,28,1,1,0,0,0
Dávid Leško,FK Železiarne Podbrezová,stredopoliar,04.06.1988,35,4,98,16,21,0
Miloš Šimončič,FC Nitra,stredopoliar,27.05.1987,36,5,105,11,22,1
Ľubomír Bernáth,FC ViOn Zlaté Moravce - Vráble,útočník,03.09.1985,38,2,41,6,3,0
Károly Varga,FC DAC 1904 Dunajská Streda,brankár,13.03.1989,34,0,0,0,0,0
Reza Ghani Zadeh,FC DAC 1904 Dunajská Streda,obranca,13.03.1982,41,1,1,0,0,0
Muris Mesanović,FC DAC 1904 Dunajská Streda,útočník,06.07.1990,33,1,9,1,3,0
Martin Vavák,Spartak Myjava,stredopoliar,04.03.1994,29,2,4,0,1,0
Peter Zvolenský,FC Spartak Trnava,stredopoliar,29.10.1991,31,0,0,0,0,0
Peter Mičic,FC Nitra,obranca,30.04.1986,37,2,35,1,4,0
Stanislav Pella,FC VSS Košice,brankár,19.01.1995,28,0,0,0,0,0
Coulibaly Diaby,FC VSS Košice,útočník,25.12.1989,33,2,22,1,0,0
Ján Dzurík,FK Pohronie Žiar n.H. Dolná Ždaňa,stredopoliar,18.07.1993,30,3,73,0,6,0
Jakub Hronec,FK Dukla Banská Bystrica,stredopoliar,05.09.1992,31,0,0,0,0,0
Michal Bojnanský,FC DAC 1904 Dunajská Streda,brankár,20.06.1995,28,1,1,0,0,0
Erik Jurica,Spartak Myjava,brankár,24.08.1993,30,0,0,0,0,0
Gabriel Vitorio Da Silva,FC DAC 1904 Dunajská Streda,obranca,18.09.1987,36,1,7,0,3,0
Marek Frimmel,AS Trenčín,stredopoliar,10.11.1992,30,2,14,0,0,0
Martin Zeman,FK Senica,stredopoliar,28.03.1989,34,1,11,1,3,0
Alexander Jakubov,FK Senica,útočník,11.01.1991,32,1,7,1,0,0
Ján Hrbek,MŠK Žilina,útočník,17.09.1981,42,1,1,0,0,0
Barnabás Kürti,FC DAC 1904 Dunajská Streda,brankár,24.08.1994,29,0,0,0,0,0
Vratislav Gajdoš,FC Nitra,stredopoliar,13.01.1986,37,2,38,4,5,1
Dávid Keresteš,FC Tatran Prešov,stredopoliar,04.09.1995,28,2,55,0,10,0
Michal Hrivňák,FC Spartak Trnava,brankár,05.03.1991,32,0,0,0,0,0
Martin Chudý,ŠKF ORION TIP Sereď,brankár,23.04.1989,34,5,69,17,3,0
Michal Janec,MFK Tatran Liptovský Mikuláš,obranca,28.04.1992,31,2,16,0,5,0
Petr Kaspřák,FC Nitra,obranca,17.01.1984,39,2,30,0,12,0
Matic Maruško,FC Spartak Trnava,stredopoliar,30.11.1990,32,1,5,0,1,0
Clovis Guy Adiaba Bondoa,FC DAC 1904 Dunajská Streda,obranca,02.01.1987,36,1,5,0,1,0
Eric Barosso Sanchez,FC Nitra,obranca,04.10.1990,33,1,6,1,3,0
Emil Le Giang,FC Nitra,stredopoliar,26.02.1991,32,1,9,0,0,0
Radim Diviš,FC DAC 1904 Dunajská Streda,stredopoliar,10.10.1989,34,0,0,0,0,0
Jakub Bartek,FC Tatran Prešov,obranca,01.07.1992,31,3,62,2,18,1
Marek Božoň,FC DAC 1904 Dunajská Streda,obranca,17.04.1990,33,1,5,0,1,0
Ivan Hodúr,FC DAC 1904 Dunajská Streda,stredopoliar,07.10.1979,44,2,18,0,1,0
Tomáš Huber,FC DAC 1904 Dunajská Streda,obranca,29.08.1985,38,1,8,0,2,0
Richard Miškovič,FC Nitra,obranca,01.07.1994,29,0,0,0,0,0
Lukáš Zich,MFK Ružomberok,brankár,10.01.1985,38,1,33,10,3,0
Henrich Benčík,FC Nitra,útočník,04.10.1978,45,2,18,6,7,0
Stanislav Velický,FC DAC 1904 Dunajská Streda,stredopoliar,16.04.1981,42,1,7,0,2,0
Branislav Fodrek,FC DAC 1904 Dunajská Streda,útočník,05.02.1981,42,1,6,1,3,0
Dominik Kunca,MFK Ružomberok,útočník,04.03.1992,31,5,73,9,8,0
Maroš Ferenc,FK Senica,brankár,19.02.1981,42,2,5,0,0,0
Facundo Serra,ŠK Slovan Bratislava,stredopoliar,16.09.1991,32,0,0,0,0,0
Branislav Obžera,FC DAC 1904 Dunajská Streda,stredopoliar,29.08.1981,42,1,5,0,1,0
Michal Kamenský,FK Dukla Banská Bystrica,útočník,16.05.1995,28,0,0,0,0,0
Adi Fanendo,AS Trenčín,útočník,10.10.1990,33,2,19,10,4,2
Marcel Onder,Spartak Myjava,obranca,10.05.1993,30,0,0,0,0,0
Salko Jazvin,FC DAC 1904 Dunajská Streda,stredopoliar,01.06.1993,30,0,0,0,0,0
Tomáš Kapusta,FK Senica,obranca,04.07.1995,28,0,0,0,0,0
Michal Mravec,MŠK Žilina,obranca,10.06.1987,36,2,8,0,2,0
Martin Dupkala,FC Tatran Prešov,stredopoliar,07.05.1985,38,2,29,0,3,1
Andrej Ivančík,FC Nitra,stredopoliar,25.05.1990,33,3,28,4,1,0
Zoltán Ágh,FC DAC 1904 Dunajská Streda,obranca,28.08.1991,32,0,0,0,0,0
Juraj Kuráň,FC DAC 1904 Dunajská Streda,útočník,11.08.1988,35,0,0,0,0,0
Marcel Ondráš,FC ViOn Zlaté Moravce - Vráble,obranca,21.09.1985,38,1,11,0,3,0
Lukáš Pacalaj,FC ViOn Zlaté Moravce - Vráble,stredopoliar,17.09.1994,29,0,0,0,0,0
Martin Ondrejka,FC ViOn Zlaté Moravce - Vráble,stredopoliar,08.01.1983,40,1,4,0,0,0
Martin Petreje,FC ViOn Zlaté Moravce - Vráble,útočník,31.01.1994,29,0,0,0,0,0
Peter Bartalský,AS Trenčín,brankár,27.01.1978,45,1,1,0,0,0
Jakub Straka,FC Tatran Prešov,stredopoliar,17.06.1997,26,1,2,0,0,0
Jakub Diviš,FC Tatran Prešov,brankár,27.07.1986,37,1,32,12,6,0
Erik Streňo,FK Poprad,útočník,03.10.1990,33,2,50,6,21,1
Ján Papaj,FC Tatran Prešov,stredopoliar,16.06.1979,44,1,26,0,3,0
Peter Petráš,FC Tatran Prešov,obranca,07.05.1979,44,1,30,2,7,1
Jan Krob,FC Tatran Prešov,obranca,27.04.1987,36,1,9,0,3,1
Jakub Plánička,FC Tatran Prešov,brankár,25.12.1984,38,1,1,0,0,0
Miroslav Poliaček,FC Tatran Prešov,stredopoliar,13.07.1983,40,1,22,0,2,0
Lukáš Hruška,FC Tatran Prešov,stredopoliar,02.03.1992,31,1,8,1,0,0
Andrii Iakovlev,FC Tatran Prešov,stredopoliar,20.02.1989,34,1,23,1,2,0
Lukáš Micherda,FC Tatran Prešov,stredopoliar,29.09.1994,29,2,41,2,8,0
Jhonatan Bernardo Mariano,FC Tatran Prešov,útočník,07.11.1988,34,1,6,0,0,0
Marek Kaščák,FC Spartak Trnava,stredopoliar,22.05.1982,41,1,20,3,1,0
Ladislav Tomaček,FC Spartak Trnava,útočník,26.09.1982,41,1,16,2,2,1
Lukáš Kubus,FC Tatran Prešov,útočník,15.05.1988,35,1,24,3,2,0
Norbert Gyömbér,FK Dukla Banská Bystrica,obranca,03.07.1992,31,1,26,0,4,0
Martin Poljovka,FK Dukla Banská Bystrica,obranca,09.01.1975,48,1,22,0,6,0
Pavel Vrána,FK Dukla Banská Bystrica,útočník,13.06.1985,38,1,10,1,0,0
Lukáš Pauschek,ŠK Slovan Bratislava,obranca,09.12.1992,30,6,91,2,10,0
Kamil Kopúnek,ŠK Slovan Bratislava,stredopoliar,18.05.1984,39,1,21,0,4,0
Dominik Jacko,FC Tatran Prešov,stredopoliar,26.01.1993,30,0,0,0,0,0
Uroš Matić,FC VSS Košice,stredopoliar,23.05.1990,33,1,32,5,3,0
Sergej Pilipčuk,FC VSS Košice,obranca,23.01.1993,30,0,0,0,0,0
Lukáš Bielák,MFK Tatran Liptovský Mikuláš,obranca,14.12.1986,36,3,51,2,5,0
Martin Jurkemik,MFK Ružomberok,obranca,14.11.1989,33,1,10,0,1,0
Jakub Janso,MFK Ružomberok,stredopoliar,27.12.1989,33,1,2,0,0,0
Zoltán Harsányi,Spartak Myjava,útočník,01.06.1987,36,1,20,4,4,0
Miloš Obradović,FC Nitra,obranca,30.03.1987,36,1,7,1,0,0
Matej Kopecký,FC Nitra,brankár,09.06.1990,33,1,7,0,2,0
Martin Jackuliak,FC Nitra,stredopoliar,13.09.1991,32,1,5,0,0,0
Matej Krajčík,FK Senica,obranca,19.03.1978,45,1,24,0,8,0
Milan Švenger,FK Senica,brankár,06.07.1986,37,1,32,12,3,0
Rolando Manrique Blackburn Ortega,FK Senica,útočník,09.01.1990,33,1,27,10,2,0
Martin Ďurica,FK Senica,stredopoliar,11.07.1981,42,1,10,0,1,0
Stef Marinus Wijlaars,FK Senica,obranca,19.01.1988,35,1,30,1,5,0
Tomáš Vrťo,FK Senica,stredopoliar,06.09.1988,35,1,2,0,0,0
Patrik Mráz,FK Senica,obranca,01.02.1987,36,1,12,0,3,1
Michal Kamenčík,FC Tatran Prešov,útočník,02.01.1993,30,1,1,0,0,0
Róbert Cicman,FC Nitra,obranca,03.09.1984,39,1,11,1,2,2
Tomáš Gábriš,FC ViOn Zlaté Moravce - Vráble,stredopoliar,30.11.1992,30,0,0,0,0,0
Michal Krajník,FC Tatran Prešov,obranca,05.04.1988,35,1,21,0,6,1
Adam Sámel,FK Dukla Banská Bystrica,stredopoliar,05.11.1991,31,0,0,0,0,0
Ján Gajdošík,FK Senica,obranca,12.10.1978,45,0,0,0,0,0
Martin Jurica,AS Trenčín,stredopoliar,23.02.1994,29,0,0,0,0,0
Roland Repiský,FC VSS Košice,brankár,30.05.1990,33,0,0,0,0,0
Miloš Brezinský,FC Tatran Prešov,obranca,02.04.1984,39,1,8,0,4,1
Patrik Gross,FC Spartak Trnava,obranca,06.05.1978,45,1,13,1,0,0
Samuel Čentéš,AS Trenčín,stredopoliar,19.02.1994,29,1,2,0,0,0
Jakub Jakubov,FC Spartak Trnava,brankár,01.02.1989,34,1,4,1,0,0
Denis Barát,FC Tatran Prešov,brankár,17.06.1992,31,0,0,0,0,0
Vladimír Papp,FC Tatran Prešov,obranca,25.04.1992,31,0,0,0,0,0
Jozef Kozák,FC Tatran Prešov,stredopoliar,15.08.1994,29,0,0,0,0,0
Václav Koutný,FK Senica,stredopoliar,04.10.1991,32,1,10,0,4,0
Martin Frýdek,FK Senica,obranca,24.03.1992,31,1,15,0,1,0
Adam Varadi,FK Senica,útočník,30.04.1985,38,1,14,2,3,1
Milan Pavlovič,FC ViOn Zlaté Moravce - Vráble,stredopoliar,22.11.1980,42,1,12,1,4,0
Michal Šulla,ŠK Slovan Bratislava,brankár,15.07.1991,32,10,165,48,15,0
Vlastimil Stožický,FC Spartak Trnava,obranca,19.08.1983,40,1,8,0,3,0
Matej Rehák,FC Spartak Trnava,obranca,15.02.1990,33,1,1,0,0,0
Viktor Sakhniuk,FK Dukla Banská Bystrica,útočník,04.06.1990,33,1,11,1,0,0
Viliam Macko,FC Tatran Prešov,stredopoliar,22.10.1981,41,1,4,1,1,0
Marián Adam,FC Tatran Prešov,stredopoliar,20.09.1981,42,1,19,1,3,0
Branimir Kostadinov,FC Tatran Prešov,stredopoliar,04.03.1989,34,1,10,1,0,0
Juraj Chupáč,FC VSS Košice,obranca,17.03.1988,35,1,7,0,1,1
Andriy Shevchuk,FC Tatran Prešov,útočník,12.08.1985,38,1,9,3,2,0
Igor Kotora,FC Nitra,obranca,13.07.1989,34,1,7,0,1,0
Lukáš Zelenický,FC Nitra,obranca,10.04.1990,33,1,9,0,2,0
Alberto Delgado Quintana,FK Senica,obranca,04.06.1991,32,1,16,0,4,0
Karel Kroupa,FC Nitra,útočník,27.04.1980,43,1,14,0,1,1
Filip Kinček,FC Nitra,obranca,24.08.1991,32,1,3,0,0,0
Róbert Oravec,FC Nitra,stredopoliar,07.10.1994,29,1,2,0,0,0
Miroslav Štěpánek,FK Senica,obranca,15.01.1990,33,1,1,0,0,0
Jaroslav Černý,FK Senica,stredopoliar,26.06.1979,44,1,7,2,1,0
Peter Čvirik,FC Spartak Trnava,obranca,13.06.1979,44,1,12,1,4,0
Leandro Adrian Ledesma,ŠK Slovan Bratislava,útočník,15.03.1987,36,1,3,0,0,0
Martin Matlák,FC ViOn Zlaté Moravce - Vráble,brankár,23.06.1986,37,0,0,0,0,0
Ihor Honchar,FK Senica,obranca,10.01.1993,30,1,17,0,4,0
Milan Kopic,ŠK Slovan Bratislava,obranca,23.11.1985,37,1,3,0,1,0
Mário Bicák,FC Spartak Trnava,stredopoliar,21.10.1979,43,1,8,1,3,2
Jiří Koubský,FC Spartak Trnava,obranca,05.08.1982,41,1,6,0,2,1
Dejan Boljević,FC Tatran Prešov,obranca,30.05.1990,33,1,3,0,0,0
Marek Szabó,FC Nitra,obranca,14.02.1989,34,1,15,0,4,1
Patrick Joseph Onyango,MFK Ružomberok,stredopoliar,19.02.1987,36,1,1,0,0,0
Stevo Nikolić,FC Spartak Trnava,útočník,04.12.1984,38,1,6,1,0,0
Jose Antonio Ruiz Lopez,FK Senica,stredopoliar,17.04.1992,31,1,17,4,2,0
Lukáš Laksik,MFK Dukla Banská Bystrica,útočník,21.01.1990,33,1,3,0,0,0
Daniel Kvasnica,Spartak Myjava,obranca,09.07.1984,39,0,0,0,0,0
Michal Grman,FC Nitra,obranca,25.10.1993,29,1,2,0,0,0
Matúš Digoň,FC VSS Košice,útočník,18.11.1988,34,0,0,0,0,0
Filip Šebo,ŠK Slovan Bratislava,útočník,24.02.1984,39,1,8,2,2,0
Pavol Straka,Spartak Myjava,útočník,13.12.1980,42,1,2,0,0,0
Rafael Ricardo De Oliveira Torres,FC Tatran Prešov,stredopoliar,26.10.1989,33,1,3,0,0,0
Samy Derras,FC Spartak Trnava,útočník,26.07.1988,35,1,1,0,0,0
Guillermo Andres Lopez,FK Senica,útočník,13.10.1992,31,1,10,2,0,0
René Šiko,AS Trenčín,stredopoliar,31.03.1993,30,0,0,0,0,0
Anton Lysyuk,FC Tatran Prešov,obranca,26.02.1987,36,1,1,0,0,0
Jakub Heidenreich,FC Tatran Prešov,obranca,27.04.1989,34,0,0,0,0,0
Tidiane Djiby Ba,FC Nitra,obranca,21.03.1993,30,3,72,6,13,3
Pape Abdoulaye Diakite,AS Trenčín,obranca,22.12.1992,30,0,0,0,0,0
Lukáš Hroššo,FC Nitra,brankár,19.04.1987,36,3,50,18,5,0
Michal Poluch,FC Nitra,obranca,06.06.1991,32,0,0,0,0,0
Adrián Ács,FC Nitra,stredopoliar,12.02.1992,31,0,0,0,0,0
Dmytro Prysiazhniuk,MFK Zemplín Michalovce,brankár,25.01.1997,26,0,0,0,0,0
Bence Mervó,FC DAC 1904 Dunajská Streda,útočník,05.03.1995,28,2,10,0,1,0
Jozef Dolný,FC Tatran Prešov,stredopoliar,13.05.1992,31,4,77,8,7,1
Lukáš Kučera,FK Senica,obranca,18.04.2000,23,5,23,0,6,0
Samuel Vavrúš,FK Železiarne Podbrezová,brankár,13.04.1998,25,0,0,0,0,0
Dominik Martišiak,FK Senica,útočník,09.07.2000,23,2,8,0,0,0
Daniel Filip Mašulovič,FK Senica,stredopoliar,30.01.1998,25,3,29,0,4,0
Daniel Boloca,FC Tatran Prešov,stredopoliar,22.12.1998,24,1,1,0,0,0
Macdonald Ngwa Niba,FC Nitra,obranca,08.08.1994,29,2,44,0,9,3
Richard Križan,ŠK Slovan Bratislava,obranca,23.09.1997,26,7,110,2,31,0
Samuel Mráz,ŠK Slovan Bratislava,útočník,13.05.1997,26,6,126,34,4,0
Filip Balaj,FC ViOn Zlaté Moravce - Vráble,útočník,02.08.1997,26,5,108,29,17,1
Andrej Fábry,MFK Skalica,stredopoliar,01.03.1997,26,6,142,27,14,1
Matúš Kuník,ŠKF ORION TIP Sereď,obranca,14.05.1997,26,4,89,1,22,0
Dušan Kolmokov,FC Nitra,brankár,17.05.1985,38,0,0,0,0,0
Samuel Ďurek,FC Nitra,obranca,02.04.1997,26,0,0,0,0,0
Aurelien Ngeyitala Lola,FC Nitra,stredopoliar,29.05.1994,29,1,16,0,2,0
Ondřej Vencl,FC Nitra,obranca,07.11.1993,29,1,16,0,4,0
Patrik Abrahám,FK Pohronie Žiar n.H. Dolná Ždaňa,obranca,10.12.1991,31,4,49,5,12,0
Vachtang Čanturišvili,FC Spartak Trnava,stredopoliar,05.08.1993,30,2,40,8,9,1
Yasin Pehlivan,FC Spartak Trnava,stredopoliar,05.01.1989,34,1,27,1,12,0
Martin Koscelník,MFK Zemplín Michalovce,stredopoliar,02.03.1995,28,3,87,15,11,1
Pavel Košťál,FK Senica,obranca,17.09.1980,43,1,2,0,1,0
Marvin Egho,FC Spartak Trnava,útočník,09.05.1994,29,1,31,7,6,0
Slavko Lukič,FC Spartak Trnava,obranca,14.03.1989,34,1,11,0,5,0
Illya Čerednyčenko,FC Nitra,stredopoliar,12.06.1995,28,2,14,0,1,0
Gerard Bieszczad,MFK Zemplín Michalovce,brankár,05.02.1993,30,2,19,4,2,0
Ladislav Šosták,MFK Zemplín Michalovce,obranca,18.12.1992,30,1,5,0,0,0
Miroslav Božok,MFK Zemplín Michalovce,stredopoliar,19.10.1984,38,1,15,0,5,0
Anton Antonov,MFK Zemplín Michalovce,stredopoliar,02.02.1998,25,1,11,1,2,0
Kristián Koštrna,FC Spartak Trnava,obranca,15.12.1993,29,7,130,3,16,2
Filip Moďoroši,FC DAC 1904 Dunajská Streda,stredopoliar,17.04.1998,25,0,0,0,0,0
Marko Divkovič,FC DAC 1904 Dunajská Streda,útočník,11.06.1999,24,5,115,25,6,0
Róbert Pillár,FK Senica,obranca,27.05.1991,32,5,103,16,8,1
Romulo Silva Santos,FK Senica,útočník,01.11.1992,30,1,7,0,2,0
Jurij Medveděv,ŠK Slovan Bratislava,obranca,18.06.1996,27,6,88,4,15,0
Dominik Smékal,FK Senica,útočník,22.01.1998,25,1,6,0,0,0
Hamza Čatakovič,AS Trenčín,útočník,15.01.1997,26,4,104,39,13,0
Achraf El Mahdioui,AS Trenčín,stredopoliar,24.05.1996,27,4,93,9,16,2
Jakub Grzegorz Wiezik,FK Železiarne Podbrezová,útočník,15.07.1991,32,2,49,4,2,0
Adrián Slančík,FK Pohronie Žiar n.H. Dolná Ždaňa,brankár,22.07.1999,24,2,20,4,1,0
Michal Kraľovič,FC Tatran Prešov,útočník,25.01.1999,24,1,8,0,0,0
Oleksii Miliutin,FC Tatran Prešov,stredopoliar,10.06.1995,28,1,12,0,0,0
Filip Hološko,ŠK Slovan Bratislava,útočník,17.01.1984,39,2,40,9,4,0
Paul Quaye,FK Senica,stredopoliar,16.09.1995,28,1,12,0,2,0
Frederik Valach,FC Košice,brankár,11.03.1999,24,0,0,0,0,0
Lukáš Droppa,ŠK Slovan Bratislava,stredopoliar,22.04.1989,34,1,17,0,4,0
Renan Abner Do Carmo De Oliveira,FC ViOn Zlaté Moravce - Vráble,útočník,08.05.1997,26,1,4,0,1,0
Roberto Baggio Ribeiro Da Costa,FC ViOn Zlaté Moravce - Vráble,stredopoliar,10.01.1996,27,1,3,0,0,0
Štefan Holiš,FK Poprad,útočník,29.06.1992,31,1,6,0,1,0
Marek Zsigmund,MFK Ružomberok,stredopoliar,20.04.1997,26,6,80,2,23,0
Karlo Bilič,FK Železiarne Podbrezová,obranca,06.09.1993,30,1,11,0,1,0
Dominik Takáč,FC Spartak Trnava,brankár,12.01.1999,24,6,69,34,3,0
Kristóf Domonkos,MFK Ružomberok,stredopoliar,17.08.1998,25,3,38,4,4,0
András Lénárt,FC Tatran Prešov,stredopoliar,14.04.1998,25,1,2,0,0,0
Miloš Kratochvíl,FK Senica,stredopoliar,26.04.1996,27,1,25,3,6,0
Lukáš Jančura,FC ViOn Zlaté Moravce - Vráble,obranca,23.10.1998,24,1,1,0,0,0
Lukáš Fabiš,FC Košice,obranca,05.05.1998,25,7,127,2,13,1
Jose Carrillo,FK Senica,obranca,04.03.1995,28,4,103,4,20,0
Ivan Krajčírik,MFK Ružomberok,brankár,15.06.2000,23,6,86,33,8,0
Jakub Reľovský,FK Senica,útočník,27.07.1998,25,1,2,0,0,0
Marián Jarabica,FK Senica,obranca,27.04.1989,34,1,11,0,0,1
Pentecost Ikedinachi Obiechina,FK Senica,stredopoliar,13.03.1998,25,1,4,0,0,0
Adamantios Chouchoumis,ŠK Slovan Bratislava,obranca,17.07.1994,29,1,16,0,0,0
Dominik Špiriak,FK Pohronie Žiar n.H. Dolná Ždaňa,obranca,22.03.1999,24,3,40,1,15,2
František Plach,FK Senica,brankár,08.03.1992,31,3,26,4,1,1
Ricky van Haaren,ŠK Slovan Bratislava,stredopoliar,21.06.1991,32,2,12,4,0,0
Jozef Herman,ŠK Slovan Bratislava,stredopoliar,16.07.1999,24,0,0,0,0,0
Zsolt Kalmár,FC DAC 1904 Dunajská Streda,stredopoliar,09.06.1995,28,6,121,43,35,1
David Holman,ŠK Slovan Bratislava,stredopoliar,17.03.1993,30,6,104,27,16,1
Tin Matič,MFK Zemplín Michalovce,útočník,23.10.1997,25,1,5,0,1,0
Patrik Šurnovský,FC Nitra,stredopoliar,13.11.1997,25,2,19,0,2,0
Filip Tomovič,FC Spartak Trnava,stredopoliar,02.07.1993,30,0,0,0,0,0
Hans Nunoo Sarpei,FK Senica,stredopoliar,22.08.1998,25,1,20,0,4,0
David Březina,FK Senica,obranca,16.02.1997,26,1,16,1,5,1
Dawid Szymonowicz,FC ViOn Zlaté Moravce - Vráble,obranca,07.07.1995,28,1,12,0,1,0
Sadam Sulley,FK Senica,útočník,16.10.1996,27,3,68,11,9,0
Martin Macho,FC Nitra,stredopoliar,23.01.1998,25,2,7,0,2,0
Ján Blahút,FK Železiarne Podbrezová,útočník,26.05.1999,24,1,5,0,0,0
Lukáš Kojnok,MFK Ružomberok,obranca,30.05.1997,26,2,35,1,11,1
Samuel Kuc,FK Železiarne Podbrezová,obranca,23.03.1998,25,1,6,0,0,0
Ladislav Almási,MFK Ružomberok,útočník,06.03.1999,24,6,30,9,6,0
Artur Pikk,MFK Ružomberok,obranca,05.03.1993,30,1,17,0,1,0
Dávid Hamar,FC ViOn Zlaté Moravce - Vráble,stredopoliar,12.05.1991,32,1,1,0,0,0
Tomáš Dráb,MFK Zemplín Michalovce,brankár,01.06.1999,24,2,7,1,0,0
Timotej Múdry,MFK Ružomberok,stredopoliar,04.04.2000,23,6,90,0,8,0
Lukáš Šimko,MFK Zemplín Michalovce,stredopoliar,30.06.1999,24,1,6,0,0,0
Pedro Astray Lopaz,FK Senica,stredopoliar,18.03.1992,31,1,8,0,1,0
